Year,Month,Senior,Adult,Young Adult,Teen,Youth,Family,Other
2013,1,10,8,7,15,20,25,15
2013,2,10,9,7,15,20,24,15
2013,3,11,9,7,15,20,24,14
2013,4,11,9,7,15,20,24,14
2013,5,12,9,7,15,20,24,13
2013,6,12,9,9,18,22,23,7
2013,7,10,8,9,18,22,23,10
2013,8,10,8,9,18,22,22,11
2013,9,9,7,7,17,21,24,15
2013,10,9,8,7,15,20,24,17
2013,11,10,8,7,15,20,25,15
2013,12,10,9,7,15,20,22,17
2012,1,15,25,15,7,11,9,14
2012,2,15,24,14,7,11,9,14
2012,3,18,24,14,7,12,9,13
2012,4,18,24,13,7,12,7,7
2012,5,18,24,7,7,10,7,10
2012,6,17,23,10,9,10,7,11
2012,7,15,23,11,9,9,7,15
2012,8,15,22,15,9,9,15,17
2012,9,15,24,17,7,10,14,20
2012,10,20,24,15,7,10,14,11
2012,11,22,25,15,7,15,13,11
2012,12,31,22,22,7,15,25,12
2011,1,12,15,11,14,9,15,9
2011,2,10,15,11,14,9,14,7
2011,3,10,18,12,13,9,14,7
2011,4,9,18,12,7,7,13,7
2011,5,9,18,10,10,7,7,7
2011,6,10,17,10,11,7,10,15
2011,7,10,15,9,15,7,11,14
2011,8,15,15,9,17,15,15,14
2011,9,15,15,10,15,14,17,11
2011,10,31,20,10,7,14,15,11
2011,11,12,22,15,7,13,15,12
2011,12,10,31,15,7,25,22,12
