mem num,reason for leaving
109214,Bad Service
120486,Bad Service
127992,Bad Service
132854,Bad Service
129340,Bad Service
105390,Dissatisfied
105988,Dissatisfied
110976,Dissatisfied
111592,Dissatisfied
108164,Dissatisfied
107120,Dissatisfied
43022,Dissatisfied
109734,Dissatisfied
83634,Dissatisfied
80870,Dissatisfied
70942,Dissatisfied
68806,Dissatisfied
64330,Dissatisfied
62866,Dissatisfied
58328,Dissatisfied
110248,Dissatisfied
110506,Dissatisfied
120760,Dissatisfied
120520,Dissatisfied
120416,Dissatisfied
120228,Dissatisfied
118006,Dissatisfied
114872,Dissatisfied
112292,Dissatisfied
112146,Dissatisfied
112098,Dissatisfied
112086,Dissatisfied
111358,Dissatisfied
105702,Dissatisfied
105116,Dissatisfied
100178,Dissatisfied
100176,Dissatisfied
98820,Dissatisfied
94660,Dissatisfied
129382,Dissatisfied
127410,Dissatisfied
127034,Dissatisfied
126716,Dissatisfied
126484,Dissatisfied
125600,Dissatisfied
125084,Dissatisfied
124562,Dissatisfied
124320,Dissatisfied
123840,Dissatisfied
123292,Dissatisfied
122448,Dissatisfied
122106,Dissatisfied
120936,Dissatisfied
120934,Dissatisfied
130964,Dissatisfied
130822,Dissatisfied
130674,Dissatisfied
130558,Dissatisfied
130556,Dissatisfied
130464,Dissatisfied
130382,Dissatisfied
130314,Dissatisfied
129944,Dissatisfied
129660,Dissatisfied
133094,Dissatisfied
133090,Dissatisfied
133076,Dissatisfied
132564,Dissatisfied
132556,Dissatisfied
132478,Dissatisfied
131692,Dissatisfied
131520,Dissatisfied
131190,Dissatisfied
135882,Dissatisfied
135866,Dissatisfied
135788,Dissatisfied
135646,Dissatisfied
135176,Dissatisfied
134964,Dissatisfied
134892,Dissatisfied
134692,Dissatisfied
134578,Dissatisfied
133984,Dissatisfied
133234,Dissatisfied
227302,Dissatisfied
226182,Dissatisfied
226130,Dissatisfied
225986,Dissatisfied
225500,Dissatisfied
224470,Dissatisfied
221378,Dissatisfied
217930,Dissatisfied
214982,Dissatisfied
214940,Dissatisfied
214312,Dissatisfied
213126,Dissatisfied
212422,Dissatisfied
210844,Dissatisfied
209654,Dissatisfied
209654,Dissatisfied
206130,Dissatisfied
204178,Dissatisfied
200574,Dissatisfied
196742,Dissatisfied
196280,Dissatisfied
195314,Dissatisfied
191394,Dissatisfied
189660,Dissatisfied
189448,Dissatisfied
188728,Dissatisfied
186976,Dissatisfied
186664,Dissatisfied
184676,Dissatisfied
184516,Dissatisfied
183836,Dissatisfied
183482,Dissatisfied
183376,Dissatisfied
182984,Dissatisfied
182876,Dissatisfied
182694,Dissatisfied
182374,Dissatisfied
181032,Dissatisfied
180024,Dissatisfied
179432,Dissatisfied
177386,Dissatisfied
176964,Dissatisfied
174260,Dissatisfied
172058,Dissatisfied
171350,Dissatisfied
170382,Dissatisfied
169602,Dissatisfied
169108,Dissatisfied
168070,Dissatisfied
167924,Dissatisfied
167366,Dissatisfied
167364,Dissatisfied
167152,Dissatisfied
167066,Dissatisfied
166802,Dissatisfied
166588,Dissatisfied
164824,Dissatisfied
163082,Dissatisfied
162530,Dissatisfied
162136,Dissatisfied
161172,Dissatisfied
160264,Dissatisfied
160156,Dissatisfied
159716,Dissatisfied
159674,Dissatisfied
158742,Dissatisfied
158608,Dissatisfied
158080,Dissatisfied
157144,Dissatisfied
157066,Dissatisfied
156590,Dissatisfied
156404,Dissatisfied
156304,Dissatisfied
234756,Dissatisfied
233820,Dissatisfied
232698,Dissatisfied
229472,Dissatisfied
227416,Dissatisfied
156088,Dissatisfied
155776,Dissatisfied
155036,Dissatisfied
154832,Dissatisfied
154802,Dissatisfied
154738,Dissatisfied
154524,Dissatisfied
153998,Dissatisfied
153492,Dissatisfied
152948,Dissatisfied
152868,Dissatisfied
152644,Dissatisfied
152008,Dissatisfied
151806,Dissatisfied
151166,Dissatisfied
148372,Dissatisfied
147718,Dissatisfied
146528,Dissatisfied
145918,Dissatisfied
145916,Dissatisfied
144998,Dissatisfied
144650,Dissatisfied
143350,Dissatisfied
142612,Dissatisfied
142094,Dissatisfied
141996,Dissatisfied
141910,Dissatisfied
141812,Dissatisfied
141806,Dissatisfied
141756,Dissatisfied
141742,Dissatisfied
141722,Dissatisfied
141638,Dissatisfied
141626,Dissatisfied
141458,Dissatisfied
140862,Dissatisfied
140558,Dissatisfied
140036,Dissatisfied
140030,Dissatisfied
139994,Dissatisfied
139682,Dissatisfied
139642,Dissatisfied
139626,Dissatisfied
139574,Dissatisfied
139528,Dissatisfied
139322,Dissatisfied
139208,Dissatisfied
139144,Dissatisfied
138956,Dissatisfied
138408,Dissatisfied
138362,Dissatisfied
138342,Dissatisfied
137934,Dissatisfied
137420,Dissatisfied
136696,Dissatisfied
136670,Dissatisfied
89500,Dissatisfied
87698,Dissatisfied
86130,Dissatisfied
84982,Dissatisfied
111076,Illness
47822,Illness
46052,Illness
92914,Illness
229374,Illness
226446,Illness
225904,Illness
225502,Illness
