Year,Month,Senior,Adult,Young Adult,Teen,Youth,Family,Other
2000,4,301,100,63,67,28,245,26
2000,9,340,121,66,95,34,269,28
2000,2,288,93,63,64,27,240,26
2000,7,317,114,66,74,32,254,28
2000,1,285,89,62,60,26,239,25
2000,3,296,96,63,66,28,244,26
2000,8,328,117,66,81,34,258,28
2000,5,304,101,64,70,28,246,26
2000,6,310,112,65,73,28,248,28
2000,11,349,128,67,102,34,292,29
2000,10,346,128,67,101,34,283,29
2000,12,358,129,67,104,34,292,29
2001,1,390,132,68,124,36,312,29
2001,10,469,195,70,199,44,367,29
2001,3,411,136,68,130,38,317,29
2001,5,421,146,69,138,38,326,29
2001,7,432,162,69,148,40,335,29
2001,2,400,134,68,126,38,316,29
2001,9,455,187,70,181,43,357,29
2001,4,417,142,69,134,38,322,29
2001,12,491,208,72,216,45,379,29
2001,8,439,181,69,155,42,348,29
2001,6,425,159,69,142,38,331,29
2001,11,480,202,71,213,44,373,29
2002,5,602,243,75,298,88,449,28
2002,1,530,218,73,267,49,410,28
2002,2,541,227,73,271,51,419,28
2002,8,642,281,84,336,141,483,29
2002,4,579,240,74,286,78,440,28
2002,11,719,291,86,431,170,523,29
2002,12,725,301,86,441,186,534,29
2002,6,615,255,76,314,109,458,28
2002,9,663,284,84,377,155,501,29
2002,7,621,265,76,321,130,466,29
2002,10,690,291,85,408,162,512,29
2002,3,559,230,74,280,59,429,28
2003,2,774,311,86,490,198,582,24
2003,3,783,318,87,526,211,601,24
2003,1,761,304,87,466,197,561,29
2003,9,699,337,88,485,255,606,229
2003,7,735,322,89,551,258,607,92
2003,10,716,342,90,518,254,622,210
2003,4,784,303,87,536,221,598,25
2003,5,782,314,86,544,233,602,25
2003,8,735,309,88,522,251,612,92
2003,6,752,311,86,558,235,605,37
2003,11,704,336,89,505,252,638,187
2003,12,694,328,88,498,256,653,192
2004,12,704,304,98,478,334,792,187
2004,5,745,346,92,535,302,736,206
2004,10,714,319,96,497,315,756,197
2004,3,742,337,89,535,287,729,196
2004,1,694,326,89,488,265,672,202
2004,11,708,315,97,471,321,768,198
2004,8,722,333,96,514,298,720,210
2004,7,736,352,96,541,301,724,213
2004,9,725,333,97,518,307,744,213
2004,2,719,328,90,533,278,706,205
2004,6,753,360,93,568,293,739,208
2004,4,734,339,89,535,296,732,202
2005,10,1151,200,214,1248,797,2941,226
2005,2,726,302,99,541,351,912,189
2005,7,1069,227,193,1124,686,2467,208
2005,12,1202,181,228,1401,878,3235,228
2005,4,921,267,162,664,447,1825,183
2005,8,1102,221,194,1170,736,2573,206
2005,1,707,306,100,484,342,857,188
2005,3,746,276,104,577,367,1005,188
2005,9,1139,212,208,1248,780,2821,212
2005,5,976,258,179,793,539,2109,192
2005,6,1028,236,182,996,596,2294,198
2005,11,1180,195,223,1313,813,3096,221
2006,7,1284,144,281,1845,1206,3854,289
2006,5,1285,143,275,1751,1234,3905,271
2006,1,1205,165,232,1448,961,3472,231
2006,9,1286,129,291,1830,1234,3866,284
2006,4,1292,145,277,1745,1236,3891,265
2006,6,1267,144,277,1829,1167,3888,284
2006,3,1338,155,277,1823,1200,3943,253
2006,8,1283,134,289,1809,1225,3812,282
2006,11,1332,119,298,1829,1200,3952,325
2006,2,1270,164,246,1633,1078,3683,247
2006,12,1375,109,306,1923,1198,4016,325
2006,10,1305,127,292,1831,1222,3926,322
2007,1,1514,105,329,1855,1168,4094,325
2007,3,1579,96,356,2181,1336,4317,326
2007,2,1536,104,341,2037,1199,4211,329
2007,4,1551,85,353,2082,1298,4233,337
2007,8,1498,77,371,1988,1271,4122,364
2007,5,1544,81,355,2079,1299,4217,348
2007,6,1508,81,352,2097,1280,4165,362
2007,7,1512,80,358,2025,1290,4151,365
2007,9,1506,75,375,1985,1267,4135,359
2007,10,1504,74,392,1928,1170,4143,367
2007,11,1494,73,398,1927,1144,4164,355
2007,12,1474,61,407,1960,1178,4177,347
2008,4,1619,56,442,2190,1329,4375,341
2008,2,1628,57,425,2211,1285,4375,351
2008,9,1574,50,455,2199,1199,4301,384
2008,1,1544,58,420,1986,1192,4231,340
2008,3,1644,56,438,2216,1317,4369,344
2008,7,1550,53,439,2198,1250,4279,368
2008,8,1546,52,443,2171,1226,4301,368
2008,12,1613,42,495,2111,1180,4349,355
2008,5,1595,54,442,2267,1274,4330,357
2008,11,1594,44,487,2134,1170,4347,362
2008,6,1587,53,438,2271,1246,4294,369
2008,10,1578,47,474,2140,1178,4300,387
2009,2,1702,41,524,2280,1245,4425,356
2009,4,1644,40,510,2143,1209,4289,344
2009,11,1565,30,515,1982,1031,3895,349
2009,3,1656,41,510,2191,1231,4330,348
2009,6,1599,36,498,2203,1158,4193,338
2009,7,1595,36,494,2197,1147,4151,360
2009,12,1592,30,520,2052,1086,3945,358
2009,1,1648,41,507,2253,1210,4397,352
2009,5,1641,40,511,2135,1186,4245,341
2009,9,1579,34,499,2085,1079,4037,353
2009,8,1589,35,496,2130,1118,4079,358
2009,10,1570,31,509,1981,1033,3956,359
2010,12,1501,17,580,1843,1178,3627,476
2010,9,1440,21,564,1886,1125,3564,419
2010,2,1575,28,519,2151,1147,3898,385
2010,7,1478,23,548,1988,1130,3648,407
